data,tipo,instituto,perc_ps,perc_psd,perc_cdspp,perc_cdu,perc_be,outros,vantagem,indecisos,margem_erro,data_recolha,tecnica
08-11-2010,Sondagem à boca das urnas,Aximage,26.5,35.2,9.1,8.4,9.8,11.0,,5-7 Dezembro,600 / Telefone (fixo)
29-10-2010,Sondagem à boca das urnas,Aximage,28.0,37.2,9.6,8.9,10.4,5.8,,,
28-10-2010,Sondagem à boca das urnas,Universidade Católica,26,40,7,12,8,0.07,,,
17-10-2010,Sondagem à boca das urnas,Intercampus,30.5,39.2,8.5,11.0,9.7,1.0,,,
17-10-2010,Sondagem à boca das urnas,Marktest,25.1,42.0,9.8,8.1,8.3,6.7,,,
15-10-2010,Sondagem à boca das urnas,Intercampus,30.1,41.6,7.7,10.7,8.8,1.1,,,
12-10-2010,Sondagem à boca das urnas,Eurosondagem,35.2,35.2,8.0,7.8,8.4,5.2,,,
07-10-2010,Sondagem à boca das urnas,Intercampus,32.0,35.2,9.1,10.6,11.1,2.0,3.97,4-6 Outubro,609 / Entrevistas
04-10-2010,Sondagem à boca das urnas,Aximage,33.7,32.7,10.9,9.2,8.1,5.4,,,
17-09-2010,Sondagem à boca das urnas,Marktest,35.7,38.0,6.7,6.5,6.5,6.6,,,
09-09-2010,Sondagem à boca das urnas,Aximage,35.5,33.8,8.3,8.7,9.0,4.6,,,
07-09-2010,Sondagem à boca das urnas,Eurosondagem,36.0,35.7,8.5,7.1,7.7,5.0,,,
02-08-2010,Sondagem à boca das urnas,Eurosondagem,35.0,36.0,9.1,7.2,8.1,4.8,,,
26-07-2010,Sondagem à boca das urnas,Marktest,27.6,43.9,7.5,7.7,7.1,6.2,,,
19-07-2010,Sondagem à boca das urnas,Intercampus,34.4,39.2,5.9,9.0,9.5,2.0,,,
11-07-2010,Sondagem à boca das urnas,Euroexpansão,31.6,41.0,3.8,6.6,6.3,10.6,,,
06-07-2010,Sondagem à boca das urnas,Eurosondagem,33.7,36.1,9.6,7.7,8.0,4.9,,,
04-07-2010,Sondagem à boca das urnas,Aximage,32.3,36.8,7.1,8.6,11.0,4.2,,,
26-06-2010,Sondagem à boca das urnas,Marktest,24.0,48.0,7.0,6.0,9.0,6.0,,23-25 Junho,804 / Entrevistas
21-06-2010,Sondagem à boca das urnas,Universidade Católica,34,37,6,6,10,0.07,,,
20-06-2010,Sondagem à boca das urnas,Marktest,24.1,47.7,6.9,8.9,6.0,6.4,,,
08-06-2010,Sondagem à boca das urnas,Eurosondagem,34.8,34.9,10.1,7.7,7.6,4.9,,,
07-06-2010,Sondagem à boca das urnas,Aximage,32.8,33.9,7.9,10.4,10.6,4.3,,,
21-05-2010,Sondagem à boca das urnas,Marktest,27.6,43.9,7.5,7.7,7.1,6.2,,18-20 Maio,804 / Entrevistas
13-03-2010,Sondagem à boca das urnas,,41,33,10,6,6,0.04,,,
11-03-2010,Sondagem à boca das urnas,Eurosondagem,36.9,26.2,14.8,8.8,8.4,4.9,,,
